image_num,modified,original
1,0.58437,0.591335
2,0.019683000000000003,-999.0
3,0.826772,0.832491
4,0.189066,0.195125
5,0.285391,0.292792
6,0.784456,0.789874
7,0.81935,0.825808
8,0.043838999999999996,0.04529
9,0.780068,0.7861090000000001
10,-0.00278,-0.0024100000000000002
11,-0.004070000000000001,-999.0
12,0.7558729999999999,0.7615689999999999
13,0.525436,0.533946
14,0.865201,0.870334
15,0.827073,0.8330799999999999
16,0.01596,0.025745999999999998
17,0.900367,0.902536
18,0.019568000000000002,-999.0
19,0.83341,0.840158
20,0.11576700000000001,0.114374
21,0.185283,0.191692
22,0.779753,0.785299
23,0.7275020000000001,0.7329869999999999
24,-0.00201,0.007359999999999999
25,0.8665370000000001,0.872532
26,0.019648,-999.0
27,-0.015319999999999999,-999.0
28,0.019551,-999.0
29,0.85734,0.8628030000000001
30,0.019617,-999.0
31,0.807878,0.813887
32,0.01959,-999.0
33,0.756711,0.763154
34,0.17749600000000001,0.183526
35,0.007948,0.016728
36,0.7919,0.797488
37,0.7883680000000001,0.794467
38,0.822092,0.8290559999999999
39,-0.02009,-999.0
40,0.7347670000000001,0.7411449999999999
41,0.010751,-999.0
42,0.825518,0.831009
43,0.662072,0.6673560000000001
44,0.878877,0.886808
45,0.737223,0.743051
46,0.01959,-999.0
47,0.019568000000000002,-999.0
48,0.019551,-999.0
49,0.390509,0.397367
50,0.770541,0.776776
51,0.019540000000000002,-999.0
52,-0.013040000000000001,-999.0
53,-0.01115,-999.0
54,0.882326,0.884382
55,0.00233,-999.0
56,0.729409,0.735626
57,0.019568000000000002,-999.0
58,0.6013470000000001,0.606955
59,-0.00324,-999.0
60,0.707495,0.713195
61,0.019551,-999.0
62,0.003077,-999.0
63,0.040744,0.042631999999999996
64,0.045272,0.054749
65,0.79371,0.799875
66,0.019568000000000002,-999.0
67,0.244704,0.25166900000000003
68,0.7606510000000001,0.7665029999999999
69,0.009679,-999.0
70,0.904277,0.9077629999999999
71,0.837031,0.8416959999999999
72,0.690347,0.696008
73,0.365219,0.372318
74,0.019568000000000002,-999.0
75,0.019540000000000002,-999.0
76,0.813225,0.8189
77,0.7004,0.7065100000000001
78,0.01959,-999.0
79,0.715435,0.72117
80,0.842131,0.8487610000000001
81,0.019551,-999.0
82,0.019568000000000002,-999.0
83,0.019540000000000002,-999.0
84,0.017224,0.026494
85,0.8742190000000001,0.879401
86,0.8683549999999999,0.874079
87,0.769092,0.776307
88,-0.006640000000000001,-0.0064
89,-0.0027199999999999998,-999.0
90,0.881933,0.884544
91,0.764012,0.769934
92,0.007817000000000001,-999.0
93,0.0424,0.046514
94,0.803326,0.809709
95,0.790039,0.794818
96,0.755923,0.761234
97,0.019568000000000002,-999.0
98,0.8023319999999999,0.808292
99,0.739124,0.7458020000000001
100,0.811521,0.81705
